Title,Body,Priority,Status,Labels,Repository
"AAJ-001 · Setup Proyek & Layout Aplikasi","**User story:** Sebagai pengguna, saya ingin aplikasi terbuka dengan kerangka layout konsisten (top bar, sidebar, panel utama, bottom bar), agar mudah bernavigasi.
**Referensi:** P0-01 · Sprint 1 · 8 SP · Dependensi: -
**Acceptance Criteria:**
- [ ] Proyek Vite + React + TS + Tailwind berjalan (npm run dev)
- [ ] Top bar 64px: logo + nama aplikasi, pencarian global, notifikasi, profil
- [ ] Sidebar 280px (collapsible 64px) dengan 9 modul + quick action Buat Jurnal
- [ ] Bottom bar: versi, periode aktif, status koneksi
- [ ] Rute semua modul berfungsi (lazy loading), state aktif di URL
- [ ] Responsif desktop/tablet/mobile; tema biru #2596BE aktif",P0,Backlog,"story, priority:P0, sprint-1",
"AAJ-002 · Sidebar Navigasi + Pemilih Periode & Entitas","**User story:** Sebagai pengguna, saya ingin sidebar menampilkan item aktif dan dropdown periode/entitas, agar tahu posisi dan periode saya.
**Referensi:** P0-01 · Sprint 1 · 3 SP · Dependensi: AAJ-001
**Acceptance Criteria:**
- [ ] Item aktif bg-primary/10 + border-left 3px primary; hover bg-slate-100
- [ ] Submenu Laporan Lain collapse/expand
- [ ] Dropdown periode menampilkan periode aktif; entitas (placeholder)
- [ ] Quick action Buat Jurnal menuju form jurnal baru",P0,Backlog,"story, priority:P0, sprint-1",
"AAJ-003 · Chart of Accounts - Tree View","**User story:** Sebagai pemilik usaha, saya ingin melihat daftar akun dalam hierarki pohon, agar struktur keuangan mudah dipahami.
**Referensi:** P0-01 / COA-01 · Sprint 1 · 5 SP · Dependensi: AAJ-001
**Acceptance Criteria:**
- [ ] Tree 5 tipe akun (Aktiva, Kewajiban, Modal, Pendapatan, Beban) dengan indentasi
- [ ] Expand/collapse per grup; ikon + badge tipe akun
- [ ] Setiap baris: kode, nama, saldo (format IDR)
- [ ] Klik akun menuju Buku Besar akun tersebut (placeholder di Sprint 1)
- [ ] Empty state: Chart of Account masih kosong + CTA Muat Template
- [ ] Loading skeleton 5 baris",P0,Backlog,"story, priority:P0, sprint-1",
"AAJ-004 · COA - CRUD Akun","**User story:** Sebagai akuntan, saya ingin menambah, mengedit, dan menonaktifkan akun, agar struktur akun sesuai kebutuhan usaha.
**Referensi:** P0-01 / COA-01 · Sprint 1 · 5 SP · Dependensi: AAJ-003
**Acceptance Criteria:**
- [ ] Form: kode, nama, tipe, grup, kategori, saldo normal, induk akun, deskripsi, status
- [ ] Validasi kode unik + format GOL-NOMOR
- [ ] Akun induk tidak bisa dihapus jika memiliki sub-akun aktif
- [ ] Akun ber-saldo hanya bisa dinonaktifkan (bukan dihapus)
- [ ] Akun non-aktif tidak muncul di dropdown pemilihan akun
- [ ] Saldo tidak bisa diedit manual (hanya via jurnal)",P0,Backlog,"story, priority:P0, sprint-1",
"AAJ-005 · Template COA UKM PSAK","**User story:** Sebagai pemilik baru, saya ingin memuat template akun standar, agar tidak perlu membuat akun satu per satu.
**Referensi:** P1-10 / COA-02 · Sprint 1 · 3 SP · Dependensi: AAJ-003
**Acceptance Criteria:**
- [ ] Tombol Muat Template UKM PSAK di COA / empty state
- [ ] Memuat minimal 40 akun standar (Kas, Piutang, Persediaan, Aktiva Tetap, Utang, Modal, Pendapatan, Beban)
- [ ] Jika COA terisi, dialog konfirmasi mode replace vs merge
- [ ] Toast Template berhasil dimuat + tree langsung menampilkan akun baru",P1,Backlog,"story, priority:P1, sprint-1",
"AAJ-006 · Form Entri Jurnal (Multi-Line, Auto-Balance)","**User story:** Sebagai pemilik usaha, saya ingin mencatat transaksi dengan beberapa baris debit/kredit, agar jurnal selalu balance otomatis.
**Referensi:** P0-02 / JRN-01 · Sprint 1 · 8 SP · Dependensi: AAJ-004
**Acceptance Criteria:**
- [ ] Form: tanggal, no. bukti (auto), deskripsi, baris (dropdown akun, debit, kredit)
- [ ] Debit XOR kredit per baris; nilai negatif ditolak
- [ ] Tambah/hapus baris dinamis; minimal 1 debit + 1 kredit
- [ ] Total debit & kredit live; pesan selisih bila tidak sama
- [ ] Tombol Posting non-aktif sampai balance
- [ ] Format IDR otomatis; shortcut Tab/Enter
- [ ] Dropdown hanya akun aktif (kode + nama)",P0,Backlog,"story, priority:P0, sprint-1",
"AAJ-007 · Auto-Generate Nomor Bukti","**User story:** Sebagai pemilik usaha, saya ingin nomor bukti terisi otomatis, agar pencatatan tertib.
**Referensi:** P0-02 / BR-5 · Sprint 1 · 3 SP · Dependensi: AAJ-006
**Acceptance Criteria:**
- [ ] Format PREFIX-TAHUN-BULAN-NOMOR (BKM/BKK/JKM/JKK/JV)
- [ ] Nomor dari GET /journals/next-number (fallback mock)
- [ ] Unik per periode; input manual tetap dimungkinkan
- [ ] Duplikat nomor menampilkan error Nomor bukti sudah digunakan",P0,Backlog,"story, priority:P0, sprint-1",
"AAJ-008 · Simpan Draft vs Posting","**User story:** Sebagai akuntan, saya ingin menyimpan jurnal sebagai draft atau langsung posting, agar bisa memeriksa sebelum mempengaruhi saldo.
**Referensi:** P0-02 / JRN-03 / BR-6 · Sprint 1 · 8 SP · Dependensi: AAJ-006, AAJ-007
**Acceptance Criteria:**
- [ ] Simpan Draft: status draft, tidak mengubah saldo, tidak muncul di laporan
- [ ] Posting: validasi balance + periode terbuka, update saldo akun
- [ ] Draft dapat diedit/dihapus; posted read-only (form terkunci)
- [ ] Toast Jurnal berhasil diposting; saldo akun berubah di COA
- [ ] Posting di periode tertutup diblokir
- [ ] Double-click submit dinonaktifkan + label Menyimpan",P0,Backlog,"story, priority:P0, sprint-1",
"AAJ-009 · Daftar Jurnal (Tabel + Badge + Footer)","**User story:** Sebagai pemilik usaha, saya ingin melihat daftar semua jurnal dengan statusnya, agar mudah menelusuri riwayat transaksi.
**Referensi:** P0-02 / JRN-02 · Sprint 1 · 5 SP · Dependensi: AAJ-008
**Acceptance Criteria:**
- [ ] Tabel: Tgl, No. Bukti, Keterangan (per line-item berkelompok), Debit, Kredit
- [ ] Badge status: Draft/Posted/Reversed
- [ ] Footer agregat: total debit, total kredit, selisih
- [ ] Baris expandable untuk detail + lampiran (placeholder)
- [ ] Aksi: Lihat Detail, Edit (draft), Posting, Reverse, Hapus (draft)
- [ ] Empty state dengan CTA Buat Jurnal",P0,Backlog,"story, priority:P0, sprint-1",
"AAJ-010 · Buku Besar per Akun (Saldo Berjalan)","**User story:** Sebagai akuntan, saya ingin melihat buku besar per akun, agar bisa menelusuri transaksi yang mempengaruhi saldo akun.
**Referensi:** P0-03 / GL-01-03 · Sprint 2 · 8 SP · Dependensi: AAJ-008
**Acceptance Criteria:**
- [ ] Header: kode + nama akun, periode, tombol prev/next
- [ ] Kolom: Tgl, Ref, Deskripsi, Debit, Kredit, Saldo (berjalan sesuai saldo normal)
- [ ] Baris Saldo Awal di awal + Saldo Akhir di footer
- [ ] Hanya jurnal posted yang muncul
- [ ] Klik Ref membuka detail jurnal sumber
- [ ] Di-generate otomatis dari daftar jurnal",P0,Backlog,"story, priority:P0, sprint-2",
"AAJ-011 · Filter & Pencarian Jurnal","**User story:** Sebagai akuntan, saya ingin memfilter jurnal berdasarkan tanggal, akun, status, dan kata kunci, agar cepat menemukan transaksi.
**Referensi:** P1-11 / JRN-02 · Sprint 2 · 5 SP · Dependensi: AAJ-009
**Acceptance Criteria:**
- [ ] Filter tanggal (range), akun (dropdown), status (multi-select)
- [ ] Keyword dengan debounce 300ms (no. bukti, deskripsi, nama akun)
- [ ] Kombinasi filter bekerja; URL search params menyimpan filter
- [ ] Empty state pencarian dengan keyword yang ditampilkan
- [ ] Footer agregat mengikuti hasil filter",P1,Backlog,"story, priority:P1, sprint-2",
"AAJ-012 · Periode Fiskal: Buka, Aktif, Tutup","**User story:** Sebagai akuntan, saya ingin membuka dan menutup periode fiskal, agar pembukuan tiap bulan terkunci rapi.
**Referensi:** P0-06 / SYS-01 / BR-3 · Sprint 2 · 8 SP · Dependensi: AAJ-008
**Acceptance Criteria:**
- [ ] Pengaturan: daftar periode (bulan, tahun, rentang, status, aksi)
- [ ] Hanya satu periode aktif; default entri baru
- [ ] Tutup periode: konfirmasi + penanganan jurnal draft (post-all/delete-all/keep)
- [ ] Periode tertutup memblokir entri/edit/posting di semua modul
- [ ] Laporan periode tertutup tetap bisa dibaca
- [ ] Badge Terkunci pada periode yang ditutup",P0,Backlog,"story, priority:P0, sprint-2",
"AAJ-013 · Edit & Hapus Jurnal Draft + Audit Trail","**User story:** Sebagai akuntan, saya ingin mengedit atau menghapus jurnal draft dan melihat riwayat perubahannya, agar koreksi tercatat aman.
**Referensi:** P0-02 / JRN-03 / BR-4 · Sprint 2 · 5 SP · Dependensi: AAJ-009
**Acceptance Criteria:**
- [ ] Edit hanya untuk draft (posted read-only, tombol disabled + tooltip)
- [ ] Hapus draft dengan konfirmasi
- [ ] Audit trail: create, update, post (user, timestamp, aksi)
- [ ] Edit draft tidak mempengaruhi saldo",P0,Backlog,"story, priority:P0, sprint-2",
"AAJ-014 · Dashboard: Kartu Saldo + Delta","**User story:** Sebagai pemilik usaha, saya ingin melihat ringkasan aset, utang, modal, dan laba di satu layar, agar langsung tahu kondisi keuangan.
**Referensi:** P0-07 · Sprint 2 · 5 SP · Dependensi: AAJ-008
**Acceptance Criteria:**
- [ ] 4 kartu: Total Aset, Total Utang, Total Modal, Laba Bruto (format IDR)
- [ ] Delta % vs bulan lalu dengan panah dan warna kontekstual
- [ ] Skeleton loading
- [ ] Klik kartu menuju laporan terkait",P0,Backlog,"story, priority:P0, sprint-2",
"AAJ-015 · Dashboard: Grafik, Jurnal Terbaru, Peringatan","**User story:** Sebagai pemilik usaha, saya ingin melihat tren laba rugi, jurnal terbaru, dan peringatan, agar bisa memantau kesehatan usaha.
**Referensi:** P0-07 · Sprint 2 · 5 SP · Dependensi: AAJ-014
**Acceptance Criteria:**
- [ ] Grafik bar Laba Rugi 6 bulan (lazy-loaded)
- [ ] Tabel 5 jurnal terbaru dengan link Lihat Semua
- [ ] Panel peringatan: draft belum diposting, periode belum ditutup, jurnal tidak balance
- [ ] Peringatan klikable menuju tempat perbaikan",P0,Backlog,"story, priority:P0, sprint-2",
"AAJ-016 · Laporan Laba Rugi","**User story:** Sebagai pemilik usaha, saya ingin melihat laba rugi per periode, agar tahu untung atau rugi usaha saya.
**Referensi:** P0-04 / RPT-01 · Sprint 3 · 8 SP · Dependensi: AAJ-010
**Acceptance Criteria:**
- [ ] Format: header perusahaan + judul + periode; section PENDAPATAN & BEBAN (detail + subtotal); LABA BERSIH bold
- [ ] Akurasi: pendapatan - beban = laba bersih (unit test)
- [ ] Selektor periode; default periode aktif
- [ ] Empty state + link buat jurnal
- [ ] Indentasi sesuai hierarki akun; format IDR konsisten",P0,Backlog,"story, priority:P0, sprint-3",
"AAJ-017 · Laporan Neraca (Posisi Keuangan)","**User story:** Sebagai pemilik usaha, saya ingin melihat posisi keuangan per tanggal, agar tahu total aset vs kewajiban dan modal.
**Referensi:** P0-05 / RPT-02 · Sprint 3 · 8 SP · Dependensi: AAJ-010
**Acceptance Criteria:**
- [ ] Disajikan per tanggal (Per 31 Maret 2026), saldo kumulatif
- [ ] Section ASET serta KEWAJIBAN & EKUITAS (utang, modal, laba ditahan)
- [ ] Laba periode berjalan masuk ekuitas
- [ ] Indikator keseimbangan Aset = Kewajiban + Ekuitas
- [ ] Unit test formula keseimbangan",P0,Backlog,"story, priority:P0, sprint-3",
"AAJ-018 · Neraca Lajur (Trial Balance)","**User story:** Sebagai akuntan, saya ingin melihat saldo semua akun dalam satu tabel debit/kredit, agar cepat memeriksa keseimbangan buku.
**Referensi:** P1-08 / RPT-03 · Sprint 3 · 5 SP · Dependensi: AAJ-010
**Acceptance Criteria:**
- [ ] Tabel: kode, nama akun, debit, kredit semua akun per periode
- [ ] Total debit = total kredit dengan indikator + selisih
- [ ] Klik baris akun menuju Buku Besar
- [ ] Akun tanpa transaksi tetap muncul jika ber-saldo awal",P1,Backlog,"story, priority:P1, sprint-3",
"AAJ-019 · Selektor Periode Global","**User story:** Sebagai pengguna, saya ingin mengubah periode dari satu tempat, agar semua laporan mengikuti periode yang sama.
**Referensi:** P0-06 · Sprint 3 · 3 SP · Dependensi: AAJ-016, AAJ-017
**Acceptance Criteria:**
- [ ] Dropdown periode di sidebar mempengaruhi semua modul laporan
- [ ] Periode tersimpan di URL (dapat di-share)
- [ ] Ganti periode memicu re-fetch & re-render",P0,Backlog,"story, priority:P0, sprint-3",
"AAJ-020 · Export Laporan ke PDF","**User story:** Sebagai pemilik usaha, saya ingin mengunduh laporan sebagai PDF profesional, agar bisa dibagikan ke bank, investor, atau pajak.
**Referensi:** P1-09 / RPT-05 · Sprint 4 · 5 SP · Dependensi: AAJ-016-018
**Acceptance Criteria:**
- [ ] Export dari Laba Rugi, Neraca, Neraca Lajur, Buku Besar, daftar Jurnal
- [ ] PDF berisi kop perusahaan, judul, periode, isi, footer
- [ ] Nama file: Laba-Rugi-Maret-2026.pdf
- [ ] jsPDF + autotable; angka rata kanan format IDR
- [ ] Progress indicator saat generate",P1,Backlog,"story, priority:P1, sprint-4",
"AAJ-021 · Export Laporan ke Excel","**User story:** Sebagai akuntan, saya ingin mengunduh laporan sebagai Excel, agar bisa diolah lebih lanjut.
**Referensi:** P1-09 / RPT-06 · Sprint 4 · 3 SP · Dependensi: AAJ-020
**Acceptance Criteria:**
- [ ] Export XLSX untuk semua laporan + daftar jurnal
- [ ] Nilai sebagai angka (bukan teks) agar bisa dihitung
- [ ] Nama file: Neraca-Lajur-Maret-2026.xlsx",P1,Backlog,"story, priority:P1, sprint-4",
